Treatment,target,botton_score,max,min,range,mean,std,median,non_zero_per_row
Brevis,1.0,0.0387,18.86,15.44,3.42,16.7275,1.4867,16.305,4
Brevis,0.4,0.0589,20.76,15.39,5.37,18.566,1.993,18.71,5
Brevis,0.2,0.3356,19.88,7.6,12.28,15.294,4.5882,16.36,5
Brevis,0.5,0.4434,18.66,8.32,10.34,12.7025,5.0115,11.915,4
Brevis,0.6,0.1305,19.49,13.46,6.03,16.272,2.509,16.87,5
Brevis,0.5,0.3415,20.24,7.69,12.55,15.4875,5.4178,17.01,4
Brevis,1.0,0.424,18.14,8.68,9.46,12.6575,4.2775,11.905,4
Brevis,1.0,0.1379,19.72,12.94,6.78,16.6625,2.7977,16.995,4
Brevis,1.0,0.1827,17.53,10.77,6.76,14.3833,3.4041,14.85,3
Brevis,0.75,0.4292,16.72,6.54,10.18,9.7425,4.7456,7.855,4
Brevis,0.8,0.6394,18.06,7.21,10.85,11.41,4.319,9.31,5
Brevis,1.0,0.2158,15.68,10.02,5.66,12.48,2.381,12.11,4
Brevis,0.75,0.1553,13.86,9.72,4.14,11.09,1.9228,10.39,4
Brevis,0.8,0.2411,18.13,9.05,9.08,13.88,3.9556,15.31,5
Brevis,0.67,0.2354,16.81,8.62,8.19,12.02,4.2683,10.63,3
Brevis,1.0,0.1871,16.45,10.28,6.17,13.1975,2.9434,13.03,4
Brevis,1.0,0.3251,15.97,8.3,7.67,12.5175,3.1855,12.9,4
Brevis,0.67,0.3284,18.57,5.9,12.67,10.87,6.7618,8.14,3
Brevis,1.0,0.2185,13.15,8.94,4.21,10.6275,1.8694,10.21,4
Brevis,1.0,0.4191,13.53,6.53,7.0,10.48,2.5913,11.08,5
Brevis,0.8,0.5938,14.11,6.78,7.33,9.728,2.8729,8.77,5
Brevis,1.0,0.2822,19.93,10.48,9.45,14.4925,3.974,13.78,4
Brevis,1.0,0.581,18.44,6.76,11.68,12.104,4.2304,11.65,5
Brevis,1.0,0.4584,14.71,7.34,7.37,10.6875,3.1907,10.35,4
Brevis,0.75,0.4233,19.32,8.48,10.84,13.1375,5.3085,12.375,4
Brevis,0.75,0.3345,19.21,9.54,9.67,13.935,4.006,13.495,4
Brevis,0.75,0.6628,17.15,5.58,11.57,10.2725,4.9403,9.18,4
Brevis,1.0,0.5483,14.3,6.75,7.55,9.41,3.524,8.295,4
Brevis,1.0,0.536,13.5,6.05,7.45,9.9675,3.0874,10.16,4
Brevis,1.0,0.4115,17.61,8.4,9.21,12.424,3.3371,11.82,5
Brevis,1.0,0.5486,15.58,6.78,8.8,10.485,4.3247,9.79,4
Brevis,1.0,0.1234,17.98,10.68,7.3,14.7125,3.3684,15.095,4
Brevis,1.0,0.3085,16.33,8.01,8.32,12.9225,3.5248,13.675,4
Brevis,0.5,0.0912,17.84,15.42,2.42,16.63,1.7112,16.63,2
Brevis,0.75,0.2913,17.71,7.45,10.26,10.52,4.8443,8.46,4
Brevis,0.75,0.5608,16.94,6.98,9.96,11.14,4.3286,10.32,4
Brevis,1.0,0.5773,16.02,6.22,9.8,11.082,4.1005,12.7,5
